time;V(Net-_D1-K_);V(Net-_U2-+_);
0.0048614;13.5787;7.84125;
0.0048814;13.5733;7.74218;
0.0049014;13.5678;7.64331;
0.0049214;13.5624;7.54463;
0.0049414;13.557;7.44615;
0.0049614;13.5516;7.34787;
0.0049814;13.5461;7.24978;
0.005001;13.5408;7.15384;
0.0050011;13.5408;7.15271;
0.0050013;13.5408;7.15076;
0.0050017;13.5406;7.1485;
0.005002;13.5406;7.14799;
0.00500208;13.5405;7.14858;
0.00500224;13.5405;7.14964;
0.00500256;13.5404;7.15133;
0.0050032;13.5402;7.15392;
0.00500448;13.5399;7.15839;
0.00500704;13.5392;7.16717;
0.00501216;13.5378;7.18479;
0.0050224;13.535;7.21996;
0.0050424;13.5296;7.28857;
0.0050624;13.5242;7.35703;
0.0050824;13.5188;7.42537;
0.0051024;13.5134;7.49356;
0.0051224;13.508;7.56162;
0.0051424;13.5026;7.62954;
0.0051624;13.4972;7.69733;
0.0051824;13.4918;7.76498;
0.0052024;13.4864;7.8325;
0.0052224;13.481;7.89988;
0.0052424;13.4756;7.96712;
0.0052624;13.4702;8.03423;
0.0052824;13.4648;8.10121;
0.0053024;13.4595;8.16806;
0.0053224;13.4541;8.23477;
0.0053424;13.4487;8.30135;
0.0053624;13.4433;8.36779;
0.0053824;13.4379;8.4341;
0.0054024;13.4326;8.50028;
0.0054224;13.4272;8.56633;
0.0054424;13.4218;8.63224;
0.0054624;13.4165;8.69803;
0.0054824;13.4111;8.76368;
0.0055024;13.4057;8.8292;
0.0055224;13.4004;8.89459;
0.0055424;13.395;8.95985;
0.0055624;13.3897;9.02498;
0.0055824;13.3843;9.08997;
0.0056024;13.3789;9.15484;
0.0056224;13.3736;9.21958;
0.0056424;13.3682;9.28419;
0.0056624;13.3629;9.34867;
0.0056824;13.3576;9.41302;
0.0057024;13.3522;9.47725;
0.0057224;13.3469;9.54134;
0.0057424;13.3415;9.60531;
0.0057624;13.3362;9.66915;
0.0057824;13.3309;9.73286;
0.0058024;13.3255;9.79644;
0.0058224;13.3202;9.8599;
0.0058424;13.3149;9.92323;
0.0058624;13.3096;9.98643;
0.0058824;13.3042;10.0495;
0.0059024;13.2989;10.1125;
0.0059224;13.2936;10.1753;
0.0059424;13.2883;10.238;
0.0059624;13.283;10.3006;
0.0059824;13.2776;10.363;
0.006;13.273;10.4179;
0.0060001;13.2729;10.4188;
0.0060003;13.2729;10.4204;
0.0060007;13.2728;10.422;
0.006001;13.2727;10.4219;
0.00600108;13.2727;10.4212;
0.00600124;13.2726;10.4199;
0.00600156;13.2726;10.4176;
0.0060022;13.2724;10.4139;
0.00600348;13.2721;10.4071;
0.00600604;13.2714;10.3938;
0.00601116;13.27;10.3671;
0.0060214;13.2673;10.3138;
0.0060414;13.262;10.2098;
0.0060614;13.2567;10.106;
0.0060814;13.2514;10.0024;
0.0061014;13.2461;9.89897;
0.0061214;13.2408;9.79578;
0.0061414;13.2355;9.69281;
0.0061614;13.2302;9.59003;
0.0061814;13.2249;9.48747;
0.0062014;13.2196;9.3851;
0.0062214;13.2143;9.28295;
0.0062414;13.209;9.18099;
0.0062614;13.2038;9.07925;
0.0062814;13.1985;8.9777;
0.0063014;13.1932;8.87636;
0.0063214;13.1879;8.77521;
0.0063414;13.1827;8.67428;
0.0063614;13.1774;8.57354;
0.0063814;13.1721;8.473;
0.0064014;13.1668;8.37267;
0.0064214;13.1616;8.27253;
0.0064414;13.1563;8.1726;
0.0064614;13.1511;8.07286;
