time;V(Net-_C3-Pad1_);
0.412689;-0.0630056;
0.412709;-0.0630618;
0.412729;-0.0631171;
0.412749;-0.0631715;
0.412769;-0.063225;
0.412789;-0.0632776;
0.412809;-0.0633293;
0.412829;-0.0633801;
0.412849;-0.06343;
0.412869;-0.063479;
0.412889;-0.0635271;
0.412909;-0.0635742;
0.412929;-0.0636205;
0.412949;-0.0636659;
0.412969;-0.0637104;
0.412989;-0.063754;
0.413009;-0.0637967;
0.413029;-0.0638385;
0.413049;-0.0638794;
0.413069;-0.0639194;
0.413089;-0.0639585;
0.413109;-0.0639967;
0.413129;-0.064034;
0.413149;-0.0640704;
0.413169;-0.0641059;
0.413189;-0.0641406;
0.413209;-0.0641743;
0.413229;-0.0642071;
0.413249;-0.0642391;
0.413269;-0.0642702;
0.413289;-0.0643003;
0.413309;-0.0643296;
0.413329;-0.064358;
0.413349;-0.0643855;
0.413369;-0.0644121;
0.413389;-0.0644379;
0.413409;-0.0644627;
0.413429;-0.0644866;
0.413449;-0.0645097;
0.413469;-0.0645319;
0.413489;-0.0645532;
0.413509;-0.0645736;
0.413529;-0.0645931;
0.413549;-0.0646118;
0.413569;-0.0646295;
0.413589;-0.0646464;
0.413609;-0.0646624;
0.413629;-0.0646775;
0.413649;-0.0646917;
0.413669;-0.0647051;
0.413689;-0.0647176;
0.413709;-0.0647292;
0.413729;-0.0647399;
0.413749;-0.0647497;
0.413769;-0.0647587;
0.413789;-0.0647667;
0.413809;-0.0647739;
0.413829;-0.0647803;
0.413849;-0.0647857;
0.413869;-0.0647903;
0.413889;-0.064794;
0.413909;-0.0647968;
0.413929;-0.0647988;
0.413949;-0.0647999;
0.413969;-0.0648001;
0.413989;-0.0647994;
0.414009;-0.0647979;
0.414029;-0.0647955;
0.414049;-0.0647922;
0.414069;-0.064788;
0.414089;-0.064783;
0.414109;-0.0647771;
0.414129;-0.0647704;
0.414149;-0.0647627;
0.414169;-0.0647542;
0.414189;-0.0647449;
0.414209;-0.0647347;
0.414229;-0.0647236;
0.414249;-0.0647116;
0.414269;-0.0646988;
0.414289;-0.0646851;
0.414309;-0.0646706;
0.414329;-0.0646551;
0.414349;-0.0646389;
0.414369;-0.0646217;
0.414389;-0.0646037;
0.414409;-0.0645849;
0.414429;-0.0645651;
0.414449;-0.0645446;
0.414469;-0.0645231;
0.414489;-0.0645008;
0.414509;-0.0644777;
0.414529;-0.0644536;
0.414549;-0.0644288;
0.414569;-0.064403;
0.414589;-0.0643765;
0.414609;-0.064349;
0.414629;-0.0643207;
0.414649;-0.0642916;
0.414669;-0.0642615;
0.414689;-0.0642307;
0.414709;-0.064199;
0.414729;-0.0641664;
0.414749;-0.064133;
0.414769;-0.0640987;
0.414789;-0.0640636;
0.414809;-0.0640276;
0.414829;-0.0639908;
0.414849;-0.0639531;
0.414869;-0.0639146;
0.414889;-0.0638752;
0.414909;-0.063835;
0.414929;-0.0637939;
0.414949;-0.063752;
0.414969;-0.0637092;
0.414989;-0.0636656;
0.415001;-0.0636381;
0.415001;-0.0636379;
0.415001;-0.0636375;
0.415002;-0.0636366;
0.415002;-0.0636359;
0.415002;-0.0636357;
0.415002;-0.0636354;
0.415003;-0.0636347;
0.415003;-0.0636332;
0.415004;-0.0636304;
0.415007;-0.0636246;
0.415012;-0.0636131;
0.415022;-0.06359;
0.415042;-0.0635441;
0.415062;-0.0634974;
0.415082;-0.0634498;
0.415102;-0.0634014;
0.415122;-0.0633521;
0.415142;-0.063302;
0.415162;-0.0632511;
0.415182;-0.0631993;
0.415202;-0.0631467;
0.415222;-0.0630932;
0.415242;-0.0630389;
0.415262;-0.0629837;
0.415282;-0.0629277;
0.415302;-0.0628709;
0.415322;-0.0628133;
0.415342;-0.0627548;
0.415362;-0.0626954;
0.415382;-0.0626353;
0.415402;-0.0625743;
0.415422;-0.0625124;
0.415442;-0.0624497;
0.415462;-0.0623862;
0.415482;-0.0623219;
0.415502;-0.0622567;
0.415522;-0.0621907;
0.415542;-0.0621238;
0.415562;-0.0620562;
0.415582;-0.0619877;
0.415602;-0.0619183;
0.415622;-0.0618482;
0.415642;-0.0617772;
0.415662;-0.0617053;
0.415682;-0.0616327;
0.415702;-0.0615592;
0.415722;-0.0614849;
0.415742;-0.0614098;
0.415762;-0.0613338;
0.415782;-0.061257;
0.415802;-0.0611794;
0.415822;-0.0611009;
0.415842;-0.0610217;
0.415862;-0.0609416;
0.415882;-0.0608607;
0.415902;-0.0607789;
0.415922;-0.0606964;
0.415942;-0.060613;
0.415962;-0.0605288;
0.415982;-0.0604438;
0.416002;-0.0603579;
0.416022;-0.0602713;
0.416042;-0.0601838;
0.416062;-0.0600955;
0.416082;-0.0600063;
0.416102;-0.0599164;
0.416122;-0.0598256;
0.416142;-0.0597341;
0.416162;-0.0596417;
