time;V(Net-_C3-Pad1_);
0.0044414;-5.96638;
0.0044614;-5.96618;
0.0044814;-5.96597;
0.004501;-5.96577;
0.0045011;-5.96576;
0.0045013;-5.96576;
0.0045017;-5.96576;
0.004502;-5.96575;
0.00450208;-5.96575;
0.00450224;-5.96575;
0.00450256;-5.96575;
0.0045032;-5.96574;
0.00450448;-5.96573;
0.00450704;-5.9657;
0.00451216;-5.96565;
0.0045224;-5.96554;
0.0045424;-5.96533;
0.0045624;-5.96512;
0.0045824;-5.9649;
0.0046024;-5.96469;
0.0046224;-5.96447;
0.0046424;-5.96425;
0.0046624;-5.96404;
0.0046824;-5.96382;
0.0047024;-5.96359;
0.0047224;-5.96337;
0.0047424;-5.96315;
0.0047624;-5.96292;
0.0047824;-5.9627;
0.0048024;-5.96247;
0.0048224;-5.96224;
0.0048424;-5.96201;
0.0048624;-5.96178;
0.0048824;-5.96155;
0.0049024;-5.96132;
0.0049224;-5.96108;
0.0049424;-5.96085;
0.0049624;-5.96061;
0.0049824;-5.96037;
0.005;-5.96016;
0.0050001;-5.96016;
0.0050003;-5.96016;
0.0050007;-5.96015;
0.005001;-5.96015;
0.00500108;-5.96015;
0.00500124;-5.96015;
0.00500156;-5.96014;
0.0050022;-5.96014;
0.00500348;-5.96012;
0.00500604;-5.96009;
0.00501116;-5.96003;
0.0050214;-5.9599;
0.0050414;-5.95966;
0.0050614;-5.95942;
0.0050814;-5.95918;
0.0051014;-5.95893;
0.0051214;-5.95868;
0.0051414;-5.95844;
0.0051614;-5.95819;
0.0051814;-5.95794;
0.0052014;-5.95769;
0.0052214;-5.95744;
0.0052414;-5.95718;
0.0052614;-5.95693;
0.0052814;-5.95667;
0.0053014;-5.95641;
0.0053214;-5.95616;
0.0053414;-5.9559;
0.0053614;-5.95564;
0.0053814;-5.95537;
0.0054014;-5.95511;
0.0054214;-5.95485;
0.0054414;-5.95458;
0.0054614;-5.95431;
0.0054814;-5.95405;
0.005501;-5.95378;
0.0055011;-5.95378;
0.0055013;-5.95378;
0.0055017;-5.95377;
0.005502;-5.95377;
0.00550208;-5.95377;
0.00550224;-5.95377;
0.00550256;-5.95376;
0.0055032;-5.95375;
0.00550448;-5.95374;
0.00550704;-5.9537;
0.00551216;-5.95363;
0.0055224;-5.95349;
0.0055424;-5.95322;
0.0055624;-5.95295;
0.0055824;-5.95268;
0.0056024;-5.9524;
0.0056224;-5.95213;
0.0056424;-5.95185;
0.0056624;-5.95157;
0.0056824;-5.95129;
0.0057024;-5.95101;
0.0057224;-5.95073;
0.0057424;-5.95045;
0.0057624;-5.95016;
0.0057824;-5.94988;
0.0058024;-5.94959;
0.0058224;-5.9493;
0.0058424;-5.94901;
0.0058624;-5.94872;
0.0058824;-5.94843;
0.0059024;-5.94814;
0.0059224;-5.94784;
0.0059424;-5.94755;
0.0059624;-5.94725;
0.0059824;-5.94696;
0.006;-5.94669;
0.0060001;-5.94669;
0.0060003;-5.94669;
0.0060007;-5.94668;
0.006001;-5.94668;
0.00600108;-5.94668;
0.00600124;-5.94668;
0.00600156;-5.94667;
0.0060022;-5.94666;
0.00600348;-5.94664;
0.00600604;-5.9466;
0.00601116;-5.94653;
0.0060214;-5.94637;
0.0060414;-5.94607;
0.0060614;-5.94577;
0.0060814;-5.94547;
0.0061014;-5.94516;
0.0061214;-5.94486;
0.0061414;-5.94455;
0.0061614;-5.94425;
0.0061814;-5.94394;
0.0062014;-5.94363;
0.0062214;-5.94332;
0.0062414;-5.943;
0.0062614;-5.94269;
0.0062814;-5.94238;
0.0063014;-5.94206;
0.0063214;-5.94174;
0.0063414;-5.94143;
0.0063614;-5.94111;
0.0063814;-5.94079;
0.0064014;-5.94047;
0.0064214;-5.94014;
0.0064414;-5.93982;
0.0064614;-5.93949;
0.0064814;-5.93917;
0.006501;-5.93885;
0.0065011;-5.93885;
0.0065013;-5.93884;
0.0065017;-5.93884;
0.006502;-5.93883;
0.00650208;-5.93883;
0.00650224;-5.93883;
0.00650256;-5.93882;
0.0065032;-5.93881;
0.00650448;-5.93879;
0.00650704;-5.93875;
0.00651216;-5.93866;
0.0065224;-5.9385;
0.0065424;-5.93817;
0.0065624;-5.93784;
0.0065824;-5.9375;
0.0066024;-5.93717;
0.0066224;-5.93684;
0.0066424;-5.9365;
0.0066624;-5.93617;
0.0066824;-5.93583;
0.0067024;-5.93549;
0.0067224;-5.93515;
0.0067424;-5.93481;
0.0067624;-5.93447;
0.0067824;-5.93412;
0.0068024;-5.93378;
0.0068224;-5.93343;
0.0068424;-5.93309;
0.0068624;-5.93274;
0.0068824;-5.93239;
0.0069024;-5.93204;
0.0069224;-5.93169;
0.0069424;-5.93134;
0.0069624;-5.93099;
0.0069824;-5.93063;
0.007;-5.93032;
0.0070001;-5.93032;
0.0070003;-5.93031;
0.0070007;-5.93031;
0.007001;-5.9303;
0.00700108;-5.9303;
0.00700124;-5.9303;
0.00700156;-5.93029;
0.0070022;-5.93028;
0.00700348;-5.93026;
0.00700604;-5.93021;
0.00701116;-5.93012;
0.0070214;-5.92994;
0.0070414;-5.92958;
0.0070614;-5.92922;
0.0070814;-5.92886;
0.0071014;-5.9285;
0.0071214;-5.92814;
0.0071414;-5.92777;
0.0071614;-5.92741;
0.0071814;-5.92704;
0.0072014;-5.92668;
0.0072214;-5.92631;
0.0072414;-5.92594;
0.0072614;-5.92557;
0.0072814;-5.9252;
0.0073014;-5.92482;
0.0073214;-5.92445;
0.0073414;-5.92408;
0.0073614;-5.9237;
0.0073814;-5.92332;
0.0074014;-5.92295;
0.0074214;-5.92257;
0.0074414;-5.92219;
0.0074614;-5.92181;
0.0074814;-5.92142;
0.007501;-5.92105;
0.0075011;-5.92105;
0.0075013;-5.92104;
0.0075017;-5.92103;
0.007502;-5.92103;
0.00750208;-5.92103;
0.00750224;-5.92102;
0.00750256;-5.92102;
0.0075032;-5.92101;
0.00750448;-5.92098;
0.00750704;-5.92093;
0.00751216;-5.92083;
0.0075224;-5.92064;
0.0075424;-5.92025;
0.0075624;-5.91986;
0.0075824;-5.91948;
0.0076024;-5.91909;
0.0076224;-5.9187;
0.0076424;-5.9183;
0.0076624;-5.91791;
0.0076824;-5.91752;
0.0077024;-5.91712;
0.0077224;-5.91673;
0.0077424;-5.91633;
0.0077624;-5.91593;
0.0077824;-5.91553;
0.0078024;-5.91513;
0.0078224;-5.91473;
0.0078424;-5.91433;
0.0078624;-5.91393;
0.0078824;-5.91352;
0.0079024;-5.91312;
0.0079224;-5.91271;
0.0079424;-5.9123;
0.0079624;-5.91189;
0.0079824;-5.91148;
0.008;-5.91112;
0.0080001;-5.91112;
0.0080003;-5.91112;
0.0080007;-5.91111;
0.008001;-5.9111;
0.00800108;-5.9111;
0.00800124;-5.9111;
0.00800156;-5.91109;
0.0080022;-5.91108;
0.00800348;-5.91105;
0.00800604;-5.911;
0.00801116;-5.91089;
0.0080214;-5.91068;
0.0080414;-5.91027;
0.0080614;-5.90985;
0.0080814;-5.90944;
0.0081014;-5.90902;
0.0081214;-5.9086;
0.0081414;-5.90818;
0.0081614;-5.90776;
0.0081814;-5.90734;
0.0082014;-5.90692;
0.0082214;-5.9065;
0.0082414;-5.90607;
0.0082614;-5.90565;
0.0082814;-5.90522;
0.0083014;-5.9048;
0.0083214;-5.90437;
0.0083414;-5.90394;
0.0083614;-5.90351;
0.0083814;-5.90308;
0.0084014;-5.90264;
0.0084214;-5.90221;
0.0084414;-5.90177;
0.0084614;-5.90134;
0.0084814;-5.9009;
0.008501;-5.90047;
0.0085011;-5.90047;
0.0085013;-5.90046;
0.0085017;-5.90046;
0.008502;-5.90045;
0.00850208;-5.90045;
0.00850224;-5.90044;
0.00850256;-5.90044;
0.0085032;-5.90042;
0.00850448;-5.90039;
0.00850704;-5.90034;
0.00851216;-5.90023;
0.0085224;-5.9;
0.0085424;-5.89956;
0.0085624;-5.89912;
0.0085824;-5.89868;
0.0086024;-5.89823;
0.0086224;-5.89779;
0.0086424;-5.89734;
0.0086624;-5.8969;
0.0086824;-5.89645;
0.0087024;-5.896;
0.0087224;-5.89555;
0.0087424;-5.8951;
0.0087624;-5.89465;
0.0087824;-5.89419;
0.0088024;-5.89374;
0.0088224;-5.89328;
0.0088424;-5.89283;
0.0088624;-5.89237;
0.0088824;-5.89191;
0.0089024;-5.89145;
0.0089224;-5.89099;
0.0089424;-5.89053;
0.0089624;-5.89007;
0.0089824;-5.8896;
0.009;-5.88919;
0.0090001;-5.88919;
0.0090003;-5.88919;
0.0090007;-5.88918;
0.009001;-5.88917;
0.00900108;-5.88917;
0.00900124;-5.88916;
0.00900156;-5.88916;
0.0090022;-5.88914;
0.00900348;-5.88911;
0.00900604;-5.88905;
0.00901116;-5.88893;
0.0090214;-5.88869;
0.0090414;-5.88823;
0.0090614;-5.88776;
0.0090814;-5.88729;
0.0091014;-5.88682;
0.0091214;-5.88635;
0.0091414;-5.88588;
0.0091614;-5.8854;
0.0091814;-5.88493;
0.0092014;-5.88445;
0.0092214;-5.88398;
0.0092414;-5.8835;
0.0092614;-5.88302;
0.0092814;-5.88254;
0.0093014;-5.88206;
0.0093214;-5.88158;
0.0093414;-5.88109;
0.0093614;-5.88061;
0.0093814;-5.88013;
0.0094014;-5.87964;
0.0094214;-5.87915;
0.0094414;-5.87867;
0.0094614;-5.87818;
0.0094814;-5.87769;
0.009501;-5.8772;
0.0095011;-5.8772;
0.0095013;-5.8772;
0.0095017;-5.87719;
0.009502;-5.87718;
0.00950208;-5.87718;
0.00950224;-5.87717;
0.00950256;-5.87717;
0.0095032;-5.87715;
0.00950448;-5.87712;
0.00950704;-5.87706;
0.00951216;-5.87693;
0.0095224;-5.87668;
0.0095424;-5.87618;
0.0095624;-5.87569;
0.0095824;-5.8752;
0.0096024;-5.8747;
0.0096224;-5.8742;
0.0096424;-5.8737;
0.0096624;-5.8732;
0.0096824;-5.8727;
0.0097024;-5.8722;
0.0097224;-5.8717;
0.0097424;-5.87119;
0.0097624;-5.87069;
0.0097824;-5.87018;
0.0098024;-5.86968;
0.0098224;-5.86917;
0.0098424;-5.86866;
0.0098624;-5.86815;
0.0098824;-5.86764;
0.0099024;-5.86713;
0.0099224;-5.86662;
0.0099424;-5.8661;
0.0099624;-5.86559;
0.0099824;-5.86507;
0.01;-5.86462;
0.0100001;-5.86461;
0.0100003;-5.86461;
0.0100007;-5.8646;
0.010001;-5.86459;
